"Date of Download: 2024-01-04_21:14:09"
"Search Parameters: Data Level:all  Trait List:  Trial List:11539,11846,11551,11847,11848,11850,11851  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","Cassava mosaic disease severity|at harvesting|COMP:0000294","branching level counting|CO_334:0000079","cassava bacterial blight severity 3-month evaluation|CO_334:0000175","cassava mosaic disease severity 1-month evaluation|CO_334:0000191","cassava mosaic disease severity 3-month evaluation|CO_334:0000192","cassava mosaic disease severity 6-month evaluation|CO_334:0000194","cassava mosaic disease severity 9-month evaluation|CO_334:0000193","first apical branch height measurement in cm|CO_334:0000106","fresh root yield|CO_334:0000013","fresh storage root weight per plot|CO_334:0000012","initial plant vigor assessment 1-5|CO_334:0000220","initial plant vigor assessment 1-5|month 1|COMP:0000370","lodged plants estimation 1-3|CO_334:0000301","marketable root number counting|CO_334:0000169","number of planted stakes per plot counting|CO_334:0000159","plant architecture visual rating 1-5|CO_334:0000099","plant height measurement in cm|CO_334:0000018","plant height with leaf in cm|CO_334:0000123","plant stands harvested counting|CO_334:0000010","root evaluation scaled 1-5|CO_334:0000228","root number per plot counting|CO_334:0000011","rotted storage root counting|CO_334:0000084","sprout count discrete counting|CO_334:0000138","starch content percentage|CO_334:0000071","storage root neck length visual rating 1-3|CO_334:0000223","storage root shape visual rating 1-6|CO_334:0000020","total carotenoid by chart 1-8|CO_334:0000161","notes"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","6347854","AGF20-C0002","","plot","6669926","202301DMEPR_tani_rep1_AGF20-C0002_61","1","1","61","4","16","test","","3","1","","1","3","","","160","","","4","","","","10","2","220","","7","","","8","10","","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","6347852","AGF20-C0011","","plot","6670053","202301DMEPR_tani_rep1_AGF20-C0011_53","1","1","53","3","15","test","","1","1","","1","1","","","230","","","5","","","","10","1","275","","8","","","8","10","","","",""," (Operator: lizbethpino, Time: ), shooting (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","6347849","AGF20-C0014","","plot","6670045","202301DMEPR_tani_rep1_AGF20-C0014_3","1","1","3","1","3","test","","1","1","","1","1","","","180","23.4375","15","5","","","","10","2","230","","8","","","5","10","35.12670968","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","6347850","AGF20-C0015","","plot","6670050","202301DMEPR_tani_rep1_AGF20-C0015_62","1","1","62","4","15","test","","1","2","","1","2","","","185","","","5","","","","10","2","260","","8","","","8","10","","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","6347867","AGF20-C0017","","plot","6669948","202301DMEPR_tani_rep1_AGF20-C0017_33","1","1","33","2","6","test","","1","3","","1","1","","","90","","","3","","","","10","4","200","","1","","","1","8","","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","6347860","AGF20-C0024","","plot","6669881","202301DMEPR_tani_rep1_AGF20-C0024_27","1","1","27","2","12","test","","1","1","","1","1","","","150","3.125","2","4","","","","10","2","185","","8","","","6","10","14.01461538","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","6347853","AGF20-C0026","","plot","6670043","202301DMEPR_tani_rep1_AGF20-C0026_25","1","1","25","2","14","test","","1","1","","1","1","","","178","","","4","","","","10","1","200","","6","","","6","6","","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","6347862","AGF20-C0040","","plot","6669890","202301DMEPR_tani_rep1_AGF20-C0040_75","1","1","75","4","2","test","","1","1","","3","2.5","","","145","","","4","","","","10","1","175","","7","","","8","8","","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","6347857","AGF20-C0046","","plot","6669922","202301DMEPR_tani_rep1_AGF20-C0046_6","1","1","6","1","6","test","","2","1","","1","2","","","260","21.875","14","5","","","","10","1","310","","8","","","6","10","18.04225899","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","6347861","AGF20-C0049","","plot","6669878","202301DMEPR_tani_rep1_AGF20-C0049_17","1","1","17","1","17","test","","3","2","","3","2","","","230","6.25","4","4","","","","10","2","310","","7","","","7","10","","","",""," (Operator: lizbethpino, Time: )"
